#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:Gene_u39_unique" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:Gene_u39_unique" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:Gene_u39_unique" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:Gene_u39_unique" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:Gene_u39_unique" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.Gene_u39_unique" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:Gene_u39_unique" name="distribution">
#            <parameter id="gammaShape.s:Gene_u39_unique" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="kappa1Prior.s:Gene_u39_unique" name="distribution">
#            <parameter id="kappa1.s:Gene_u39_unique" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:Gene_u39_unique" name="distribution">
#            <parameter id="kappa2.s:Gene_u39_unique" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:Gene_u39_unique" name="distribution" x="@popSize.t:Gene_u39_unique">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Gene_u39_unique" id="treeLikelihood.Gene_u39_unique" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gene_u39_unique">
#            <siteModel gammaCategoryCount="3" id="SiteModel.s:Gene_u39_unique" shape="@gammaShape.s:Gene_u39_unique" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Gene_u39_unique" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gene_u39_unique" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:Gene_u39_unique" kappa1="@kappa1.s:Gene_u39_unique" kappa2="@kappa2.s:Gene_u39_unique" spec="beast.base.evolution.substitutionmodel.TN93">
#                    <frequencies data="@Gene_u39_unique" id="empiricalFreqs.s:Gene_u39_unique" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Gene_u39_unique" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Gene_u39_unique" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	kappa1	kappa2	gammaShape	popSize	CoalescentConstant
0	-9328.100035226897	-9285.820770218212	-42.279265008684796	-9285.820770218212	0.9168426061569339	4.860029170559164	2.0	2.0	1.0	0.3	-38.752517745062164
5000	-4443.906172754233	-4516.662276900856	72.75610414662306	-4516.662276900856	0.02290009612544705	0.07392265319882017	2.0	2.0	1.0	0.013634775371707906	73.19169247736248
10000	-4408.9105999406065	-4484.728137008295	75.81753706768801	-4484.728137008295	0.024198805439364694	0.07233469364495158	2.0	3.4910383367786375	0.7134696017478309	0.00920296269041163	76.1204500686393
15000	-4367.005327795132	-4444.021578310552	77.01625051542064	-4444.021578310552	0.02105007035503301	0.06370874838056734	4.403263708623949	8.096057019466846	0.7134696017478309	0.0052040325645091225	78.78488976726166
20000	-4359.531661117237	-4436.7163801609	77.1847190436637	-4436.7163801609	0.021258707474280512	0.06445722268877996	4.403263708623949	8.096057019466846	0.5217683772145294	0.009746386273967953	79.38911983048759
25000	-4358.4189521915805	-4433.320748039086	74.90179584750506	-4433.320748039086	0.023929115170077755	0.07258660090540998	4.403263708623949	8.096057019466846	0.36866395396562845	0.009101582187480002	76.8846438985069
30000	-4354.938764081163	-4437.352167540092	82.41340345892915	-4437.352167540092	0.023625069927559278	0.06496102301626577	4.403263708623949	8.096057019466846	0.36866395396562845	0.00604121778100886	83.98640885576182
35000	-4362.140067679756	-4439.255437730409	77.11537005065323	-4439.255437730409	0.021429456653482507	0.06567041680035308	4.403263708623949	8.096057019466846	0.36866395396562845	0.007352909572573092	78.88486593159608
40000	-4362.167896753711	-4439.223234192372	77.05533743866103	-4439.223234192372	0.02272357000488279	0.06951737298978886	2.898892150651543	10.913449308493172	0.36866395396562845	0.00804774031328658	78.95971876302518
45000	-4355.8335244688415	-4433.067363050484	77.23383858164252	-4433.067363050484	0.0213080164037153	0.06433818974030484	5.807835898104139	10.913449308493172	0.20638662034517477	0.007693680495196713	79.8089526464341
50000	-4354.369474366033	-4430.528726525347	76.15925215931468	-4430.528726525347	0.022225078459818675	0.0664050504801078	3.9489647475699545	10.913449308493172	0.20638662034517477	0.00859556851566778	78.31964177309821
55000	-4352.7171227980425	-4430.176213097688	77.45909029964531	-4430.176213097688	0.030653644260414684	0.08244454606550854	3.9489647475699545	12.49984427460452	0.20638662034517477	0.009048889547609174	79.93322625636861
60000	-4358.382810604001	-4437.119811017395	78.7370004133933	-4437.119811017395	0.03316493097094048	0.0865001890179214	3.9489647475699545	5.933581796287287	0.20638662034517477	0.006379467308104802	79.56659326271725
65000	-4364.023709305971	-4437.899015105281	73.87530579931028	-4437.899015105281	0.032850645264195864	0.08865233435570007	3.9489647475699545	5.933581796287287	0.20638662034517477	0.015845875388802874	75.61472328741318
70000	-4352.616845644819	-4429.273704755391	76.65685911057236	-4429.273704755391	0.02980383627613338	0.08381324538960115	3.9489647475699545	5.933581796287287	0.11953920431931776	0.00690944189439118	77.47940881072869
75000	-4348.1243576116785	-4427.211666967978	79.08730935629944	-4427.211666967978	0.030346197437158128	0.08150633473435165	3.9489647475699545	5.933581796287287	0.11953920431931776	0.008582265830438567	80.12666815119196
80000	-4353.0795686998	-4430.75705950665	77.6774908068505	-4430.75705950665	0.024935001573774436	0.07295484681412381	4.511323114517865	6.85282329064049	0.11953920431931776	0.007521955103567375	78.97823824402673
85000	-4350.6039333948465	-4425.871915594099	75.26798219925227	-4425.871915594099	0.027694081230643063	0.07714312032618799	4.511323114517865	6.85282329064049	0.11953920431931776	0.0063187648647783	76.3944273013521
90000	-4349.079918074167	-4426.005735015311	76.92581694114442	-4426.005735015311	0.02792724449040752	0.07742171122842917	4.511323114517865	10.03737664640384	0.11953920431931776	0.007711879360073481	78.90562357915255
95000	-4355.224395837484	-4430.331241343614	75.10684550613085	-4430.331241343614	0.022852439232754377	0.06994842752647822	4.699650639853773	10.03737664640384	0.11953920431931776	0.007157841471673329	77.06679138749729
100000	-4356.915008757971	-4435.741163780813	78.82615502284199	-4435.741163780813	0.026159698634109916	0.07130485907082877	4.699650639853773	10.03737664640384	0.11953920431931776	0.006476804522968999	80.68611969868847
