#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:Gene_u69_unique" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:Gene_u69_unique" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:Gene_u69_unique" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:Gene_u69_unique" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:Gene_u69_unique" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.Gene_u69_unique" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:Gene_u69_unique" name="distribution">
#            <parameter id="gammaShape.s:Gene_u69_unique" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Gene_u69_unique" name="distribution">
#            <parameter id="kappa.s:Gene_u69_unique" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.14" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.15" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:Gene_u69_unique" name="distribution" x="@popSize.t:Gene_u69_unique">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Gene_u69_unique" id="treeLikelihood.Gene_u69_unique" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gene_u69_unique">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Gene_u69_unique" shape="@gammaShape.s:Gene_u69_unique" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Gene_u69_unique" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gene_u69_unique" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Gene_u69_unique" kappa="@kappa.s:Gene_u69_unique" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@Gene_u69_unique" id="empiricalFreqs.s:Gene_u69_unique" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Gene_u69_unique" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Gene_u69_unique" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	popSize	CoalescentConstant	kappa
0	-2226.3447320909736	-2216.9233751379147	-9.421356953058819	-2216.9233751379147	1.8118974020027154	4.449572139704869	1.0	0.3	-7.759969723410467	2.0
5000	-1175.1526552126447	-1191.6608366096195	16.508181396974734	-1191.6608366096195	0.02380819728168038	0.051065349510199406	1.2692706966332088	0.009688174613395883	15.087808634196959	2.2059721281416764
10000	-1175.5276451688703	-1192.0609195085974	16.533274339726994	-1192.0609195085974	0.030492688622729858	0.06423732950197096	0.7518030694434453	0.006874088845925172	14.252287023260502	2.2059721281416764
15000	-1175.8786936541828	-1192.6409011384658	16.762207484283067	-1192.6409011384658	0.024123746855276525	0.049898303644990726	1.153768483869991	0.011426135019632463	15.391329756084444	2.2059721281416764
20000	-1174.1449619280197	-1191.984848289166	17.8398863611462	-1191.984848289166	0.02411134713844497	0.0508409411900335	0.411421329368574	0.004677518883868699	14.784997206215913	2.083279478327981
25000	-1173.703253787396	-1192.8421865356688	19.138932748272744	-1192.8421865356688	0.021455791712070058	0.0444132488893868	0.19779068392205665	0.004514795880050137	16.03344328253972	2.5970253681807147
30000	-1174.5103598845271	-1192.4866382008172	17.976278316290163	-1192.4866382008172	0.022689677887398146	0.04900865879376905	0.1001823855818862	0.0077659532478452425	15.315569786845078	2.5970253681807147
35000	-1175.9459537784467	-1191.3979770444598	15.452023266013171	-1191.3979770444598	0.031224642640836	0.06838541599480377	0.20787450612475278	0.015632131348085127	13.598586143705337	2.5970253681807147
40000	-1175.021492239723	-1191.676601163756	16.655108924032874	-1191.676601163756	0.03561351819209026	0.07302773628293564	0.20787450612475278	0.010166821491535988	14.37147292745176	2.5970253681807147
45000	-1180.641618205356	-1191.0096591175327	10.36804091217672	-1191.0096591175327	0.026153261056288	0.05632758559851996	0.7805399662028822	0.06338779373348002	10.452016636292841	2.5034468604019278
50000	-1176.1993364532746	-1191.3344208262888	15.135084373014266	-1191.3344208262888	0.024975347380239106	0.0562791354149505	1.0074794934066829	0.006027914041261286	13.628677244550062	4.068724750241973
55000	-1177.493304480636	-1191.7659879725024	14.272683491866474	-1191.7659879725024	0.021532575613450566	0.04874804659455192	1.0074794934066829	0.01889900164887844	13.908984440509656	4.068724750241973
60000	-1176.098374661478	-1188.9295541431575	12.831179481679532	-1188.9295541431575	0.026572838918740665	0.058064902807958674	1.0074794934066829	0.02580684188725828	13.053316013049507	5.005037235946775
65000	-1173.6795643222522	-1190.38042779928	16.70086347702772	-1190.38042779928	0.024521987554770402	0.05125875207401438	1.0074794934066829	0.005453928858596034	15.368696602641217	5.005037235946775
70000	-1179.4465641401757	-1195.2732602074702	15.826696067294613	-1195.2732602074702	0.02288143789546794	0.05265071302262801	0.5647337503998381	0.006045563293874112	14.154771872620085	5.005037235946775
75000	-1174.5844807353235	-1189.2237622269854	14.639281491661853	-1189.2237622269854	0.033142986027775836	0.07154197031255297	0.36093350005363906	0.014155230934831965	13.614316616627784	5.005037235946775
80000	-1179.7753563656947	-1190.009963727176	10.234607361481263	-1190.009963727176	0.029850218066265886	0.0655969988939396	1.1338583198157475	0.046404638433309914	11.287575774251113	5.438415627514962
85000	-1175.8277792139513	-1188.6741416536925	12.846362439741158	-1188.6741416536925	0.030634692585520186	0.06417323853901226	0.34473804229448535	0.030150960411698534	12.730418816058537	5.633915809993815
90000	-1174.4585483315511	-1190.0236053764108	15.565057044859602	-1190.0236053764108	0.031286268668038256	0.06677584982513035	0.8269376327120965	0.008639498523451562	13.994928209452683	3.318534103915567
