"TaxaName","Accession","CollectionDate","GeoLocation","IsolationSource","Host","LengthBP","Protein","GCpercent"
"HHV6_U39__MN242397.1","MN242397.1","Jan-2019","Russia:Moscow","patient's whole blood","Homo sapiens","146925","QGQ58028.1",40.8744484556759
"HHV6_U39__MW536483.1","MW536483.1",NA,"Zaire",NA,"Homo sapiens","162121","QRY06488.1",40.8744484556759
"HHV6_U39__OR643889.1","OR643889.1","2022","Finland","liver","Homo sapiens","162025","WOL36453.1",40.8744484556759
"HHV6_U39_1850glycoprotei_KT246133.1","KT246133.1","10-Mar-2008","France",NA,NA,"2493","ALG62611.1",40.8744484556759
"HHV6_U39_3244glycoprotei_KT246130.1","KT246130.1","10-Mar-2008","France",NA,NA,"2493","ALG62608.1",40.6738868832732
"HHV6_U39_3410glycoprotei_KT246137.1","KT246137.1","10-Mar-2008","France",NA,NA,"2493","ALG62615.1",40.954673084637
"HHV6_U39_3612glycoprotei_KT246138.1","KT246138.1","10-Mar-2008","France",NA,NA,"2493","ALG62616.1",40.9145607701564
"HHV6_U39_5261138glycoprotei_KT246129.1","KT246129.1","10-Mar-2008","France",NA,NA,"2493","ALG62607.1",40.7942238267148
"HHV6_U39_534413glycoprotei_KT246132.1","KT246132.1","10-Mar-2008","France",NA,NA,"2493","ALG62610.1",40.7942238267148
"HHV6_U39_5381254glycoprotei_KT246124.1","KT246124.1","10-Mar-2008","France",NA,NA,"2493","ALG62602.1",40.7942238267148
"HHV6_U39_538449glycoprotei_KT246131.1","KT246131.1","10-Mar-2008","France",NA,NA,"2493","ALG62609.1",40.7139991977537
"HHV6_U39_539395glycoprotei_KT246135.1","KT246135.1","10-Mar-2008","France",NA,NA,"2493","ALG62613.1",40.9145607701564
"HHV6_U39_540884glycoprotei_KT246128.1","KT246128.1","10-Mar-2008","France",NA,NA,"2493","ALG62606.1",40.8343361411954
"HHV6_U39_5559glycoprotei_KT246134.1","KT246134.1","10-Mar-2008","France",NA,NA,"2493","ALG62612.1",40.8343361411954
"HHV6_U39_605505glycoprotei_KT246140.1","KT246140.1","10-Mar-2008","France",NA,NA,"2493","ALG62618.1",40.7942238267148
"HHV6_U39_6071057glycoprotei_KT246139.1","KT246139.1","10-Mar-2008","France",NA,NA,"2493","ALG62617.1",40.8744484556759
"HHV6_U39_BLAglycoprotei_KT246125.1","KT246125.1","10-Mar-2008","France",NA,NA,"2493","ALG62603.1",40.8343361411954
"HHV6_U39_HSTglycoprotei_KT246126.1","KT246126.1","10-Mar-2008","Japan",NA,NA,"2493","ALG62604.1",40.7541115122343
"HHV6_U39_MARglycoprotei_KT246123.1","KT246123.1","10-Mar-2008","France",NA,NA,"2493","ALG62601.1",40.8343361411954
"HHV6_U39_MBEglycoprotei_KT246127.1","KT246127.1","10-Mar-2008","France",NA,NA,"2493","ALG62605.1",40.8744484556759
"HHV6_U39_TCHB1glycoprotei_MH680932.1","MH680932.1","16-Jan-2012","USA",NA,NA,"2493","QBO66520.1",40.9145607701564
"HHV6A_outgroup_KP257584.1","KP257584.1","1987","Gambia",NA,"Homo sapiens","156714","AJA36217.1",40.8744484556759
