"part","start","stop"
"Gene_u39_trimmed.fasta","1","2493"
"Gene_u47_trimmed.fasta","2494","2700"
"Gene_u69_trimmed.fasta","2701","3429"
"Gene_u86_trimmed.fasta","3430","3746"
"Gene_u90_trimmed.fasta","3747","4177"
